Filename,SourceFile,Phi (Pitch),Kappa (Yaw),Omega (Roll),Latitude,Longitude,Altitude
MIX_2056.JPG,/mnt/d/DCIM/107MEDIA/MIX_2056.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.22"" W",50.9 m Above Sea Level
IRX_2056.JPG,/mnt/d/DCIM/107MEDIA/IRX_2056.JPG,,,,"40 deg 31' 25.54"" N","74 deg 27' 36.22"" W",50.9 m Above Sea Level
MAX_2056.JPG,/mnt/d/DCIM/107MEDIA/MAX_2056.JPG,,,,"40 deg 31' 25.56"" N","74 deg 27' 36.24"" W",50.9 m Above Sea Level
MIX_2057.JPG,/mnt/d/DCIM/107MEDIA/MIX_2057.JPG,,,,"40 deg 31' 25.56"" N","74 deg 27' 36.24"" W",50.9 m Above Sea Level
IRX_2057.JPG,/mnt/d/DCIM/107MEDIA/IRX_2057.JPG,,,,"40 deg 31' 25.56"" N","74 deg 27' 36.24"" W",50.9 m Above Sea Level
MAX_2057.JPG,/mnt/d/DCIM/107MEDIA/MAX_2057.JPG,,,,"40 deg 31' 25.57"" N","74 deg 27' 36.27"" W",50.9 m Above Sea Level
MIX_2058.JPG,/mnt/d/DCIM/107MEDIA/MIX_2058.JPG,,,,"40 deg 31' 25.57"" N","74 deg 27' 36.27"" W",50.9 m Above Sea Level
IRX_2058.JPG,/mnt/d/DCIM/107MEDIA/IRX_2058.JPG,,,,"40 deg 31' 25.57"" N","74 deg 27' 36.27"" W",50.9 m Above Sea Level
MAX_2058.JPG,/mnt/d/DCIM/107MEDIA/MAX_2058.JPG,,,,"40 deg 31' 25.57"" N","74 deg 27' 36.27"" W",50.9 m Above Sea Level
MIX_2059.JPG,/mnt/d/DCIM/107MEDIA/MIX_2059.JPG,,,,"40 deg 31' 25.57"" N","74 deg 27' 36.27"" W",50.9 m Above Sea Level
IRX_2059.JPG,/mnt/d/DCIM/107MEDIA/IRX_2059.JPG,,,,"40 deg 31' 25.57"" N","74 deg 27' 36.27"" W",50.9 m Above Sea Level
